epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,534.405,0.66135,0.74789,0.92583,0.89445,0.91584,0.91199,0.77891,0.45628,0.34808,0.8293,0.00999612,0.00333204,0.00999612,0.00333204,0.00999612,0.00333204,0.00999612,0.00333204
2,961.92,0.62518,0.48376,0.89928,0.91604,0.92722,0.93228,0.80776,0.43657,0.33457,0.82416,0.0190534,0.00635115,0.0190534,0.00635115,0.0190534,0.00635115,0.0190534,0.00635115
3,1336.28,0.63909,0.49037,0.90354,0.92153,0.92491,0.9255,0.80121,0.4513,0.3362,0.83295,0.0271679,0.00905597,0.0271679,0.00905597,0.0271679,0.00905597,0.0271679,0.00905597
4,1691.65,0.6031,0.4554,0.89381,0.91861,0.94787,0.93818,0.83473,0.38229,0.28064,0.81225,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
5,2050.61,0.5447,0.40297,0.87534,0.91974,0.95431,0.95133,0.8613,0.34753,0.25341,0.80267,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429
6,2408.98,0.50837,0.37424,0.86509,0.92758,0.95546,0.94863,0.86383,0.32585,0.23267,0.80001,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286
7,2768.08,0.48255,0.35446,0.85897,0.92598,0.96757,0.94994,0.87307,0.3086,0.2225,0.79449,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
8,3124.27,0.46601,0.33885,0.85413,0.92621,0.96796,0.95291,0.88076,0.30016,0.21091,0.79167,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
9,3480.13,0.44934,0.32665,0.8505,0.92786,0.97073,0.95193,0.88033,0.29034,0.20428,0.7914,0.0186857,0.00622857,0.0186857,0.00622857,0.0186857,0.00622857,0.0186857,0.00622857
10,3837.51,0.43536,0.31544,0.84704,0.93549,0.95981,0.96334,0.89409,0.27985,0.19383,0.78845,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
11,4197.2,0.42334,0.30772,0.84363,0.93138,0.96468,0.95183,0.89189,0.26824,0.18854,0.78616,0.0158571,0.00528571,0.0158571,0.00528571,0.0158571,0.00528571,0.0158571,0.00528571
12,4599.68,0.35678,0.25839,0.80149,0.92873,0.96927,0.94951,0.88418,0.26766,0.19165,0.78619,0.0144429,0.00481429,0.0144429,0.00481429,0.0144429,0.00481429,0.0144429,0.00481429
13,4955.81,0.34523,0.24857,0.79838,0.92944,0.96795,0.96146,0.89891,0.26184,0.1856,0.78502,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
14,5309.91,0.33393,0.24058,0.79653,0.93057,0.97042,0.95828,0.89671,0.25253,0.18017,0.78253,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143
15,5664.09,0.32212,0.23193,0.79384,0.95093,0.95297,0.9646,0.90915,0.24634,0.17652,0.78221,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
16,6018.11,0.31061,0.22394,0.79059,0.93416,0.96571,0.96245,0.90444,0.24215,0.173,0.78121,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
17,6372.16,0.30138,0.21588,0.78951,0.93445,0.96671,0.96612,0.90735,0.23883,0.16897,0.78086,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714
18,6724.11,0.29022,0.20748,0.78726,0.93426,0.96808,0.96635,0.91287,0.23574,0.16624,0.78035,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571
19,7078.39,0.27942,0.1992,0.78516,0.93452,0.96684,0.97017,0.91525,0.23256,0.1635,0.78002,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
20,7431.82,0.27097,0.19224,0.78273,0.93043,0.97357,0.9688,0.91498,0.23054,0.16206,0.77907,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286
21,7784.68,0.26035,0.184,0.78132,0.93027,0.9723,0.96723,0.91387,0.2293,0.1608,0.77893,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429
