epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,774.338,0.61735,0.67721,0.88698,0.84533,0.9363,0.91564,0.80472,0.41094,0.35396,0.80826,0.00999741,0.00333247,0.00999741,0.00333247,0.00999741,0.00333247,0.00999741,0.00333247
2,1372.42,0.58757,0.46203,0.86871,0.83921,0.94397,0.92035,0.82041,0.39133,0.335,0.80747,0.0190547,0.00635156,0.0190547,0.00635156,0.0190547,0.00635156,0.0190547,0.00635156
3,1908.58,0.58977,0.46026,0.87041,0.84963,0.94934,0.92437,0.8297,0.37492,0.32258,0.80338,0.0271691,0.00905636,0.0271691,0.00905636,0.0271691,0.00905636,0.0271691,0.00905636
4,2423.82,0.55124,0.42561,0.85969,0.85683,0.95853,0.93038,0.84802,0.33639,0.28965,0.7948,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
5,2939.82,0.50338,0.38235,0.84746,0.86726,0.97025,0.93115,0.8576,0.31127,0.26788,0.78692,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429,0.0243429,0.00811429
6,3450.3,0.47467,0.35965,0.8414,0.86743,0.97671,0.9319,0.86396,0.2924,0.25571,0.78655,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286,0.0229286,0.00764286
7,3959.99,0.45333,0.34325,0.83579,0.8715,0.97738,0.93956,0.88009,0.27794,0.24317,0.78389,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
8,4468.64,0.43535,0.33016,0.83201,0.87143,0.97581,0.95189,0.89032,0.26732,0.23413,0.78158,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
9,5015.77,0.42268,0.31974,0.82925,0.87015,0.97945,0.94,0.87948,0.26096,0.23213,0.78032,0.0186857,0.00622857,0.0186857,0.00622857,0.0186857,0.00622857,0.0186857,0.00622857
10,5526.6,0.41092,0.31019,0.82694,0.87703,0.97949,0.94127,0.88369,0.25437,0.22285,0.77947,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
11,6038.27,0.40212,0.30331,0.82527,0.8716,0.9818,0.94547,0.88812,0.25084,0.22057,0.77915,0.0158571,0.00528571,0.0158571,0.00528571,0.0158571,0.00528571,0.0158571,0.00528571
12,6605.46,0.3492,0.27072,0.79274,0.87112,0.98279,0.9453,0.88878,0.24717,0.2195,0.7793,0.0144429,0.00481429,0.0144429,0.00481429,0.0144429,0.00481429,0.0144429,0.00481429
13,7115.19,0.3382,0.26209,0.79123,0.87022,0.98364,0.94544,0.88926,0.24492,0.21707,0.77937,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
14,7626.23,0.32811,0.25504,0.78817,0.87117,0.98309,0.94683,0.89302,0.24185,0.21544,0.7793,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143,0.0116143,0.00387143
15,8137.16,0.31919,0.24743,0.78717,0.87123,0.98257,0.94827,0.89501,0.23996,0.21438,0.77864,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
16,8645.41,0.30916,0.23939,0.78552,0.86639,0.98342,0.94748,0.89474,0.23751,0.2133,0.77846,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
17,9149.93,0.29953,0.23249,0.784,0.86612,0.98345,0.94863,0.89537,0.2349,0.21178,0.77836,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714,0.00737143,0.00245714
18,9654.58,0.29048,0.22491,0.78153,0.86833,0.98317,0.95031,0.89868,0.23276,0.21023,0.77795,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571,0.00595714,0.00198571
19,10158.5,0.28057,0.21726,0.78049,0.86893,0.98356,0.95185,0.90047,0.23089,0.20903,0.77777,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
20,10664.4,0.27164,0.20938,0.77841,0.86978,0.98343,0.95371,0.90225,0.22939,0.20823,0.77743,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286,0.00312857,0.00104286
21,11168.9,0.26201,0.20149,0.7776,0.87069,0.98515,0.95351,0.90255,0.22824,0.20767,0.7771,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429,0.00171429,0.000571429
