14:11:35 [INFO] Log-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\doombot_20260416_141135.log
14:11:35 [INFO] Metrik-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\metrics_20260416_141135.csv
14:11:35 [INFO] Lade YOLO-Modell: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\..\DoomDataset\model_weights\trainedyolo.pt
14:11:35 [INFO] Lade ViZDoom-Config: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\custom_config.cfg
14:11:36 [INFO] ViZDoom initialisiert.
14:11:36 [DEBUG] Frame 1 | tic=14 | HP=100 | kein Target | action=idle | inf=99.4ms | 8.0 FPS
14:11:36 [DEBUG] Frame 2 | tic=18 | HP=100 | kein Target | action=idle | inf=18.7ms | 10.7 FPS
14:11:36 [DEBUG] Frame 3 | tic=22 | HP=100 | kein Target | action=idle | inf=15.4ms | 11.3 FPS
14:11:36 [DEBUG] Frame 4 | tic=26 | HP=100 | kein Target | action=idle | inf=18.4ms | 13.5 FPS
14:11:36 [DEBUG] Frame 5 | tic=30 | HP=100 | kein Target | action=idle | inf=18.7ms | 15.3 FPS
14:11:36 [DEBUG] Frame 6 | tic=34 | HP=100 | kein Target | action=idle | inf=17.6ms | 16.8 FPS
14:11:36 [DEBUG] Frame 7 | tic=38 | HP=100 | kein Target | action=idle | inf=17.9ms | 17.3 FPS
14:11:36 [DEBUG] Frame 8 | tic=42 | HP=100 | kein Target | action=idle | inf=17.5ms | 17.7 FPS
14:11:36 [DEBUG] Frame 9 | tic=46 | HP=100 | kein Target | action=idle | inf=18.0ms | 18.0 FPS
14:11:36 [DEBUG] Frame 10 | tic=50 | HP=100 | kein Target | action=idle | inf=18.8ms | 18.3 FPS
14:11:36 [DEBUG] Frame 11 | tic=54 | HP=100 | kein Target | action=idle | inf=19.8ms | 18.1 FPS
14:11:36 [DEBUG] Frame 12 | tic=58 | HP=100 | kein Target | action=idle | inf=16.7ms | 17.5 FPS
14:11:36 [DEBUG] Frame 13 | tic=62 | HP=100 | kein Target | action=idle | inf=18.3ms | 18.2 FPS
14:11:36 [DEBUG] Frame 14 | tic=66 | HP=100 | kein Target | action=idle | inf=18.5ms | 17.6 FPS
14:11:36 [DEBUG] Frame 15 | tic=70 | HP=100 | kein Target | action=idle | inf=24.1ms | 18.2 FPS
14:11:36 [DEBUG] Frame 16 | tic=74 | HP=100 | kein Target | action=idle | inf=18.1ms | 18.7 FPS
14:11:37 [DEBUG] Frame 17 | tic=78 | HP=100 | kein Target | action=idle | inf=18.2ms | 18.2 FPS
14:11:37 [DEBUG] Frame 18 | tic=82 | HP=100 | kein Target | action=idle | inf=18.1ms | 18.6 FPS
14:11:37 [DEBUG] Frame 19 | tic=86 | HP=100 | kein Target | action=idle | inf=17.9ms | 18.5 FPS
14:11:37 [DEBUG] Frame 20 | tic=90 | HP=100 | kein Target | action=idle | inf=18.2ms | 18.6 FPS
14:11:37 [DEBUG] Frame 21 | tic=94 | HP=100 | kein Target | action=idle | inf=16.6ms | 18.7 FPS
14:11:37 [DEBUG] Frame 22 | tic=98 | HP=100 | kein Target | action=idle | inf=17.6ms | 19.0 FPS
14:11:37 [DEBUG] Frame 23 | tic=102 | HP=100 | kein Target | action=idle | inf=18.2ms | 19.4 FPS
14:11:37 [DEBUG] Frame 24 | tic=106 | HP=100 | kein Target | action=idle | inf=18.3ms | 19.7 FPS
