frame_idx,episode,tic,inference_ms,num_detections,target_class,target_conf,target_score,action,health,fps
1,1,14,99.37,0,,,,idle,100.0,7.96
2,1,18,18.69,0,,,,idle,100.0,10.67
3,1,22,15.45,0,,,,idle,100.0,11.35
4,1,26,18.41,0,,,,idle,100.0,13.53
5,1,30,18.66,0,,,,idle,100.0,15.33
6,1,34,17.58,0,,,,idle,100.0,16.78
7,1,38,17.92,0,,,,idle,100.0,17.34
8,1,42,17.48,0,,,,idle,100.0,17.74
9,1,46,18.0,0,,,,idle,100.0,18.04
10,1,50,18.76,0,,,,idle,100.0,18.32
11,1,54,19.76,0,,,,idle,100.0,18.11
12,1,58,16.7,0,,,,idle,100.0,17.52
13,1,62,18.27,0,,,,idle,100.0,18.15
14,1,66,18.45,0,,,,idle,100.0,17.63
15,1,70,24.14,0,,,,idle,100.0,18.18
16,1,74,18.14,0,,,,idle,100.0,18.71
17,1,78,18.17,0,,,,idle,100.0,18.22
18,1,82,18.13,0,,,,idle,100.0,18.64
19,1,86,17.91,0,,,,idle,100.0,18.47
20,1,90,18.22,0,,,,idle,100.0,18.58
21,1,94,16.62,0,,,,idle,100.0,18.7
22,1,98,17.58,0,,,,idle,100.0,19.04
23,1,102,18.19,0,,,,idle,100.0,19.39
24,1,106,18.31,0,,,,idle,100.0,19.71
25,1,110,17.6,0,,,,idle,100.0,19.78
26,1,114,18.08,0,,,,idle,100.0,20.08
27,1,118,18.23,0,,,,idle,100.0,20.14
28,1,122,18.68,0,,,,idle,100.0,20.17
29,1,126,17.54,0,,,,idle,100.0,20.43
30,1,130,17.2,0,,,,idle,100.0,20.48
31,1,134,17.48,0,,,,idle,100.0,20.7
32,1,138,14.96,0,,,,idle,100.0,20.74
33,1,142,19.0,0,,,,idle,100.0,20.97
34,1,146,18.91,0,,,,idle,100.0,20.57
35,1,150,17.77,0,,,,idle,100.0,20.6
36,1,154,17.8,0,,,,idle,100.0,20.64
37,1,158,17.89,0,,,,idle,100.0,20.83
38,1,162,18.15,0,,,,idle,100.0,20.67
39,1,166,18.28,0,,,,idle,100.0,20.69
40,1,170,17.72,0,,,,idle,100.0,20.88
41,1,174,18.44,0,,,,idle,100.0,20.72
42,1,178,19.45,0,,,,idle,100.0,20.9
43,1,182,18.25,0,,,,idle,100.0,21.07
44,1,186,18.15,0,,,,idle,100.0,21.07
45,1,190,17.81,0,,,,idle,100.0,21.23
46,1,194,17.5,0,,,,idle,100.0,21.23
47,1,198,17.68,0,,,,idle,100.0,21.38
48,1,202,17.79,0,,,,idle,100.0,21.53
49,1,206,18.23,0,,,,idle,100.0,21.67
50,1,210,17.71,0,,,,idle,100.0,21.67
51,1,214,18.39,0,,,,idle,100.0,21.8
52,1,218,18.64,0,,,,idle,100.0,21.5
53,1,222,17.47,0,,,,idle,100.0,21.35
54,1,226,18.08,0,,,,idle,100.0,21.35
55,1,230,18.01,0,,,,idle,100.0,21.33
56,1,234,18.1,0,,,,idle,100.0,21.47
57,1,238,17.67,0,,,,idle,100.0,21.59
58,1,242,17.68,0,,,,idle,100.0,21.59
59,1,246,17.93,0,,,,idle,100.0,21.7
60,1,250,17.63,0,,,,idle,100.0,21.82
61,1,254,18.0,0,,,,idle,100.0,21.94
62,1,258,17.94,0,,,,idle,100.0,22.05
63,1,262,17.95,0,,,,idle,100.0,22.16
64,1,266,18.02,0,,,,idle,100.0,22.27
65,1,270,17.77,0,,,,idle,100.0,22.38
66,1,274,15.11,0,,,,idle,100.0,22.13
67,1,278,18.48,0,,,,idle,100.0,22.23
68,1,282,19.19,0,,,,idle,100.0,22.33
69,1,286,18.43,0,,,,idle,100.0,22.43
70,1,290,19.48,0,,,,idle,100.0,22.31
71,1,294,18.05,0,,,,idle,100.0,22.3
72,1,298,15.21,0,,,,idle,100.0,22.07
73,1,302,17.38,0,,,,idle,100.0,22.06
74,1,306,17.59,0,,,,idle,100.0,22.15
75,1,310,17.62,0,,,,idle,100.0,22.25
76,1,314,17.98,0,,,,idle,100.0,22.34
77,1,318,17.22,0,,,,idle,100.0,22.42
78,1,322,17.26,0,,,,idle,100.0,22.51
79,1,326,17.36,0,,,,idle,100.0,22.59
80,1,330,14.82,0,,,,idle,100.0,22.68
81,1,334,18.29,0,,,,idle,100.0,22.76
82,1,338,17.68,0,,,,idle,100.0,22.55
83,1,342,18.19,0,,,,idle,100.0,22.63
84,1,346,17.53,0,,,,idle,100.0,22.42
85,1,350,18.17,0,,,,idle,100.0,22.5
86,1,354,18.77,0,,,,idle,100.0,22.58
87,1,358,18.03,0,,,,idle,100.0,22.66
